Date,Close,High,Low,Open,Volume
10-10-2024,20241.75977,20241.75977,20241.75977,20241.75977,0
11-10-2024,20271.9707,20271.9707,20271.9707,20271.9707,0
14-10-2024,20439.05078,20439.05078,20439.05078,20439.05078,0
15-10-2024,20159.83008,20159.83008,20159.83008,20159.83008,0
16-10-2024,20174.05078,20174.05078,20174.05078,20174.05078,0
17-10-2024,20190.41992,20190.41992,20190.41992,20190.41992,0
18-10-2024,20324.03906,20324.03906,20324.03906,20324.03906,0
21-10-2024,20361.4707,20361.4707,20361.4707,20361.4707,0
22-10-2024,20383.65039,20383.65039,20383.65039,20383.65039,0
23-10-2024,20066.96094,20066.96094,20066.96094,20066.96094,0
24-10-2024,20232.86914,20232.86914,20232.86914,20232.86914,0
25-10-2024,20352.01953,20352.01953,20352.01953,20352.01953,0
28-10-2024,20351.07031,20351.07031,20351.07031,20351.07031,0
29-10-2024,20550.65039,20550.65039,20550.65039,20550.65039,0
30-10-2024,20387.69922,20387.69922,20387.69922,20387.69922,0
31-10-2024,19890.41992,19890.41992,19890.41992,19890.41992,0
01-11-2024,20033.14063,20033.14063,20033.14063,20033.14063,0
04-11-2024,19963.59961,19963.59961,19963.59961,19963.59961,0
05-11-2024,20227.46094,20227.46094,20227.46094,20227.46094,0
06-11-2024,20781.33008,20781.33008,20781.33008,20781.33008,0
07-11-2024,21101.57031,21101.57031,21101.57031,21101.57031,0
08-11-2024,21117.17969,21117.17969,21117.17969,21117.17969,0
11-11-2024,21106.58984,21106.58984,21106.58984,21106.58984,0
12-11-2024,21070.78906,21070.78906,21070.78906,21070.78906,0
13-11-2024,21036.16016,21036.16016,21036.16016,21036.16016,0
14-11-2024,20896.66992,20896.66992,20896.66992,20896.66992,0
15-11-2024,20394.13086,20394.13086,20394.13086,20394.13086,0
18-11-2024,20539.18945,20539.18945,20539.18945,20539.18945,0
19-11-2024,20684.58984,20684.58984,20684.58984,20684.58984,0
20-11-2024,20667.09961,20667.09961,20667.09961,20667.09961,0
21-11-2024,20740.7793,20740.7793,20740.7793,20740.7793,0
22-11-2024,20776.23047,20776.23047,20776.23047,20776.23047,0
25-11-2024,20804.89063,20804.89063,20804.89063,20804.89063,0
26-11-2024,20922.90039,20922.90039,20922.90039,20922.90039,0
29-11-2024,20930.36914,20930.36914,20930.36914,20930.36914,0
02-12-2024,21164.59961,21164.59961,21164.59961,21164.59961,0
03-12-2024,21229.32031,21229.32031,21229.32031,21229.32031,0
04-12-2024,21492.35938,21492.35938,21492.35938,21492.35938,0
05-12-2024,21425.2207,21425.2207,21425.2207,21425.2207,0
06-12-2024,21622.25,21622.25,21622.25,21622.25,0
09-12-2024,21440.82031,21440.82031,21440.82031,21440.82031,0
10-12-2024,21368.17969,21368.17969,21368.17969,21368.17969,0
11-12-2024,21763.98047,21763.98047,21763.98047,21763.98047,0
12-12-2024,21615.26953,21615.26953,21615.26953,21615.26953,0
13-12-2024,21780.25,21780.25,21780.25,21780.25,0
16-12-2024,22096.66016,22096.66016,22096.66016,22096.66016,0
17-12-2024,22001.08008,22001.08008,22001.08008,22001.08008,0
18-12-2024,21209.31055,21209.31055,21209.31055,21209.31055,0
19-12-2024,21110.50977,21110.50977,21110.50977,21110.50977,0
20-12-2024,21289.15039,21289.15039,21289.15039,21289.15039,0
24-12-2024,21797.65039,21797.65039,21797.65039,21797.65039,0
26-12-2024,21768.31055,21768.31055,21768.31055,21768.31055,0
27-12-2024,21473.00977,21473.00977,21473.00977,21473.00977,0
30-12-2024,21197.08984,21197.08984,21197.08984,21197.08984,0
31-12-2024,21012.16992,21012.16992,21012.16992,21012.16992,0
02-01-2025,20975.61914,20975.61914,20975.61914,20975.61914,0
03-01-2025,21326.16016,21326.16016,21326.16016,21326.16016,0
06-01-2025,21559.5,21559.5,21559.5,21559.5,0
07-01-2025,21173.03906,21173.03906,21173.03906,21173.03906,0
08-01-2025,21180.96094,21180.96094,21180.96094,21180.96094,0
10-01-2025,20847.58008,20847.58008,20847.58008,20847.58008,0
13-01-2025,20784.7207,20784.7207,20784.7207,20784.7207,0
14-01-2025,20757.41016,20757.41016,20757.41016,20757.41016,0
15-01-2025,21237.84961,21237.84961,21237.84961,21237.84961,0
16-01-2025,21091.25,21091.25,21091.25,21091.25,0
17-01-2025,21441.15039,21441.15039,21441.15039,21441.15039,0
21-01-2025,21566.50977,21566.50977,21566.50977,21566.50977,0
22-01-2025,21853,21853,21853,21853,0
23-01-2025,21900.92969,21900.92969,21900.92969,21900.92969,0
24-01-2025,21774.00977,21774.00977,21774.00977,21774.00977,0
27-01-2025,21127.2793,21127.2793,21127.2793,21127.2793,0
28-01-2025,21463.03906,21463.03906,21463.03906,21463.03906,0
29-01-2025,21411.46094,21411.46094,21411.46094,21411.46094,0
30-01-2025,21508.11914,21508.11914,21508.11914,21508.11914,0
31-01-2025,21478.05078,21478.05078,21478.05078,21478.05078,0
03-02-2025,21297.58008,21297.58008,21297.58008,21297.58008,0
04-02-2025,21566.91992,21566.91992,21566.91992,21566.91992,0
05-02-2025,21658.16016,21658.16016,21658.16016,21658.16016,0
06-02-2025,21774.07031,21774.07031,21774.07031,21774.07031,0
07-02-2025,21491.31055,21491.31055,21491.31055,21491.31055,0
10-02-2025,21756.73047,21756.73047,21756.73047,21756.73047,0
11-02-2025,21693.51953,21693.51953,21693.51953,21693.51953,0
12-02-2025,21719.25977,21719.25977,21719.25977,21719.25977,0
13-02-2025,22030.71094,22030.71094,22030.71094,22030.71094,0
14-02-2025,22114.68945,22114.68945,22114.68945,22114.68945,0
18-02-2025,22164.60938,22164.60938,22164.60938,22164.60938,0
19-02-2025,22175.59961,22175.59961,22175.59961,22175.59961,0
20-02-2025,22068.06055,22068.06055,22068.06055,22068.06055,0
21-02-2025,21614.08008,21614.08008,21614.08008,21614.08008,0
24-02-2025,21352.08008,21352.08008,21352.08008,21352.08008,0
25-02-2025,21087.25,21087.25,21087.25,21087.25,0
26-02-2025,21132.91992,21132.91992,21132.91992,21132.91992,0
27-02-2025,20550.94922,20550.94922,20550.94922,20550.94922,0
28-02-2025,20884.41016,20884.41016,20884.41016,20884.41016,0
03-03-2025,20425.58008,20425.58008,20425.58008,20425.58008,0
04-03-2025,20352.5293,20352.5293,20352.5293,20352.5293,0
05-03-2025,20628.46094,20628.46094,20628.46094,20628.46094,0
06-03-2025,20052.63086,20052.63086,20052.63086,20052.63086,0
07-03-2025,20201.36914,20201.36914,20201.36914,20201.36914,0
10-03-2025,19430.94922,19430.94922,19430.94922,19430.94922,0
11-03-2025,19376.96094,19376.96094,19376.96094,19376.96094,0
12-03-2025,19596.01953,19596.01953,19596.01953,19596.01953,0
13-03-2025,19225.48047,19225.48047,19225.48047,19225.48047,0
14-03-2025,19704.64063,19704.64063,19704.64063,19704.64063,0
17-03-2025,19812.24023,19812.24023,19812.24023,19812.24023,0
18-03-2025,19483.35938,19483.35938,19483.35938,19483.35938,0
19-03-2025,19736.66016,19736.66016,19736.66016,19736.66016,0
20-03-2025,19677.60938,19677.60938,19677.60938,19677.60938,0
21-03-2025,19753.9707,19753.9707,19753.9707,19753.9707,0
24-03-2025,20180.43945,20180.43945,20180.43945,20180.43945,0
25-03-2025,20287.83008,20287.83008,20287.83008,20287.83008,0
26-03-2025,19916.99023,19916.99023,19916.99023,19916.99023,0
